#{"t_start": 1708590254.4900942, "env_id": "None"}
r,l,t
3585.67475,456,7.822535
3633.24857,458,14.891027
15894.032501,1827,42.913025
8206.16848,1026,58.685811
20648.517567,2482,97.42338
17379.122834,1562,123.1919
16710.877543,1482,238.236457
11148.164438,1084,263.43059
